# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.428408, 0.856816,      shared-priority,    1,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.423886, 0.847772,      shared-priority,    1,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.420974, 0.841948,      shared-priority,    1,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.679175, 1.358349,      shared-priority,    1,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.586658, 1.173316,      shared-priority,    1,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.594161, 1.188321,      shared-priority,    1,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.592782, 1.185565,      shared-priority,    1,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.543541, 1.087082,      shared-priority,    1,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.542262, 1.084524,      shared-priority,    1,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.426459, 0.852918,      shared-priority,    1,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.413203, 0.826405,      shared-priority,    1,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.510217, 1.020434,      shared-priority,    1,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.504471, 1.008942,      shared-priority,    1,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.758298, 1.516596,      shared-priority,    1,    1,                 none
