result:
   system | domain_size | gt_backend | transport | variant | taskspernode | domainthreads | ompthreads | nodes |   colspersec |    time
----------+-------------+------------+-----------+---------+--------------+---------------+------------+-------+--------------+--------
daint_gpu |         512 |       cuda |       gcl |     mpi |            1 |             1 |          1 |     1 |     153422.0 | 1.70865
daint_gpu |         512 |       cuda |       gcl |     mpi |            1 |             1 |          1 |     4 |     121379.5 | 2.15971
daint_gpu |         512 |       cuda |       gcl |     mpi |            1 |             1 |          1 |    16 |   115979.375 | 2.26026
daint_gpu |         512 |       cuda |       gcl |     mpi |            1 |             1 |          1 |    64 |  111086.5625 | 2.35982
daint_gpu |         512 |       cuda |       gcl |     mpi |           12 |             1 |          1 |     1 |     123669.0 | 2.11972
daint_gpu |         512 |       cuda |       gcl |     mpi |           12 |             1 |          1 |     4 |     128283.5 | 2.04347
daint_gpu |         512 |       cuda |       gcl |     mpi |           12 |             1 |          1 |    16 |   127984.375 | 2.04825
daint_gpu |         512 |       cuda |       gcl |     mpi |           12 |             1 |          1 |    64 |  128825.3125 | 2.03488
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |             1 |          1 |     1 |     156372.0 | 1.67641
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |             1 |          1 |     4 |     125810.0 | 2.08365
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |             1 |          1 |    16 |    115956.25 | 2.26072
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |             1 |          1 |    64 |  111337.1875 | 2.35451
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |            12 |          1 |     1 |      87453.7 | 2.99752
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |            12 |          1 |     4 |     82408.25 | 3.18104
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |            12 |          1 |    16 |    81095.625 | 3.23254
daint_gpu |         512 |       cuda |      ghex |     mpi |            1 |            12 |          1 |    64 |  80677.65625 | 3.24927
daint_gpu |         512 |       cuda |      ghex |     mpi |           12 |             1 |          1 |     1 |     141110.0 | 1.85772
daint_gpu |         512 |       cuda |      ghex |     mpi |           12 |             1 |          1 |     4 |    151752.75 | 1.72744
daint_gpu |         512 |       cuda |      ghex |     mpi |           12 |             1 |          1 |    16 |     152150.0 | 1.72293
daint_gpu |         512 |       cuda |      ghex |     mpi |           12 |             1 |          1 |    64 | 151924.21875 | 1.72549
daint_gpu |         512 |       cuda |      ghex |     ucx |            1 |             1 |          1 |     1 |     146031.0 | 1.79513
